id,sp,study,updatedstudy,mod_name,duration (weeks),year,minsampling (min),ess,speed_low (m/s),speed_est (m/s),speed_high (m/s),area_mod_low (m^2),area_mod_est (m^2),area_mod_high (m^2),area_ud_low (m^2),area_ud_est (m^2),area_ud_high (m^2),tau_p_low (s),tau_p_est (s),tau_p_high (s),tau_v_low (s),tau_v_est (s),tau_v_high (s),sigma_p,bls (m),ridge_length_low (m),ridge_length_est (m),ridge_length_high (m),ridge_dens_low (1/m),ridge_dens_est (1/m),ridge_dens_high (1/m),kept (y/n),kept (reason),mean_roughness,mean_treecover,mean_hfi,mean_road_cover,mean_dhi_ndvi,mean_dhi_gpp,seasonality_dhi_gpp,phylo,clade,mass (g),hunting_movement,hunting_cooperativity,hunting_carcass,pursuit,disruptfast,slowwalking
44904,Lycaon pictus,Abrahms,Abrahms,OUF anisotropic,42.7142857142857,2021-11-01,162.46666666666698,63.9647696482881,1.50460693806542e-6,0.981766607538288,10.6567688509148,359183180.9967579,466433621.270168,587481800.7301071,336510078.983765,436990435.62879,550397562.09241,293317.07376914,385900.79892533994,507708.005870893,1.06195407953174e-14,106.930101921763,1076698787393936600,24780324.031203,82.8639519866766,131040.517979985,158971.04431181902,192002.19314996904,51.02853799897992,57.8314554945044,66.97857097013929,y,none,3.277286756453423,45.1470258136925,0.2939044883573688,0.23990284757660132,9.712265697716242,6883.175865800868,0.59769109204347,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44907,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,2.2857142857142905,2022-08-11,179,104.364089343526,NA,NA,NA,25266923.6852899,30912262.427417994,37118299.782853,28662403.401028298,35066387.4545573,42106419.2533983,6484.27973411877,9264.839523882889,13237.746507394902,NA,NA,NA,NA,NA,48951.37230507051,59836.02126654859,68799.18196927631,83.60209076059739,102.10203277000396,112.413440125512,n,dropped,2.6913461538461534,47.438461538461546,0.24209485101428896,0.3188990313580936,9.703967094421388,7348.686507936507,0.5966878831386566,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44910,Lycaon pictus,Abrahms,Abrahms,OUF anisotropic,24.714285714285705,2021-10-26,162.18333333333302,29.198310805569093,0.2514677819694621,0.315135271212149,0.38607784728824907,487832551.35339904,727324519.2576759,1013885669.21052,449635217.056265,670374941.523447,934498326.692138,311741.34622062,470937.9403809621,711431.2758927589,762.342333667206,1337.5278241208,2346.6894088008,38640733.5173736,331.27773914418793,127749.290176577,191423.741401001,278833.28838300105,36.2958249744414,54.66052876124049,83.1975836550545,y,none,2.8680028462998064,45.48387096774192,0.2670044819977914,0.27931065419445766,9.796922579256565,7329.680265654653,0.5878065470500053,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44914,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,2.4285714285714306,2022-07-05,162.133333333333,49.93278129523139,NA,NA,NA,36873045.251922496,49690168.4542792,64389659.583360896,47085352.2949251,63452288.013611294,82222929.64736271,17524.531854830697,25487.0896806322,37067.56595666339,NA,NA,NA,NA,NA,68229.3345261375,97427.69377737938,121568.06297402298,98.86815884313388,149.59516531133798,179.740541946623,n,dropped,4.142045454545455,55.71717171717172,0.2309599913152537,0.5488619475727865,9.68427299822449,6970.997474747474,0.5730499832919149,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44915,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,50.42857142857141,2021-09-06,163.55,114.123562173872,NA,NA,NA,297931313.2065,361143365.190382,430346148.900912,247295557.78816596,299764227.44912905,357205457.15407103,207510.123947,252788.897318475,307947.51307561004,NA,NA,NA,NA,NA,117182.44403281198,138650.17711728704,174074.41146627296,55.52758534088111,64.12997233940217,84.83045295206558,n,dropped,3.2755809595202394,43.35082458770611,0.27856207954256146,0.30835716951197367,9.721569459035088,6865.243628185907,0.6001478766483525,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44937,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,1.7142857142857102,2022-08-01,162.35000000000002,19.705165404887502,NA,NA,NA,45254381.7933921,74394190.2976199,110659122.51909502,51594004.7558613,84815968.2204367,126161204.004411,23592.160887507802,42195.6454374253,75468.81789974909,NA,NA,NA,NA,NA,61875.999381057794,92043.7600450683,128118.372775642,74.2070579231342,99.88748511618998,130.105903571629,n,dropped,3.2158333333333338,43.50666666666667,0.3518743437404434,0,9.753857421875,6815.377777777778,0.5930966160915516,Lycaon_pictus,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44916,Panthera leo,Abrahms,Abrahms,OUF anisotropic,5.714285714285709,2022-08-01,2.53333333333333,10.6174694667909,0.369561542614423,0.375052265688304,0.380584038311619,126040123.401308,256203820.44231305,431757777.510592,177899794.803399,361619822.7560699,609406099.8285929,145287.42833477398,296305.21542567306,604297.162491937,495.60464818568903,515.5894422726492,536.3801044969629,13611398.0619662,153.89826631290308,98431.2614081238,149804.69421333098,266975.46033910505,54.4616323650155,62.058120147599205,116.959604512204,y,none,3.3533834586466154,42.56140350877192,0.2586847772785262,0.40787676841970183,9.57434737187013,6863.268170426065,0.6016935795769656,Panthera_leo,felidae,161499.06,Slow walking,Evidence for Cooperativity,Stay with / Revisit Carcasses,0,0,1
44920,Panthera leo,Abrahms,Abrahms,OUF anisotropic,14,2021-10-14,1.63333333333333,11.056000858548604,0.36647619418221405,0.36939841524300504,0.372332400999108,139126274.888969,278124531.493023,464455858.227964,183663236.38973704,367157473.41150296,613136994.7941041,343739.286715555,687854.091343748,1376459.6287472402,241.313949922616,247.96792012841505,254.80536633928503,14775984.6141787,72.98402361366732,75149.8708824305,141625.02929214394,256083.37395935305,30.749229974701393,54.62955373243972,106.956022838628,y,none,3.2381198347107434,45.64256198347108,0.2488630061958268,0.30354108720369694,9.63271071694114,6903.3841991342,0.5926501171671467,Panthera_leo,felidae,161499.06,Slow walking,Evidence for Cooperativity,Stay with / Revisit Carcasses,0,0,1
C01,Canis latrans,Mike,Belant-Beyer,OUF anisotropic,30.142857142857103,2009-05-04,3.88333333333333,50.4845327499943,0.281367628604522,0.2848017660842971,0.288257021948681,126627621.10148,170343939.98254302,220442821.595773,208767993.37231305,280842064.50336206,363438917.33541,236439.004020829,319268.021851914,431113.5981957299,531.1719494721441,553.916754674236,577.635493391069,9049900.85839933,125.304437401407,94963.32870921733,140515.93535886004,204111.701687456,43.196438562554306,70.30545130300098,114.63160596888,y,none,8.816133004926114,70.19605911330058,0.2633774759714228,0.8369737663744723,12.447325946493503,12501.555198285108,0.9940199250193652,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C02,Canis latrans,Mike,Belant-Beyer,OUF anisotropic,30,2009-05-05,7.183333333333331,260.11379239646305,0.21036299852652005,0.212893514285506,0.21543936863993504,18113074.8604267,20532733.5317513,23101882.591429997,14755767.7779109,16726936.2145787,18819886.5945433,55534.050717671,63354.4301826704,72276.08596708512,577.8507109905179,602.6782661154659,628.572545710522,1090847.15801058,101.867634816562,28026.110942369294,31243.3827275774,34415.789152689395,53.2309064750811,58.35790558052699,62.93590224639271,y,none,7.612268518518518,91.89814814814817,0.15898792956556596,0.9109228193759918,13.449608306090038,13282.763888888889,0.9752412537733712,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
